job_ad_id,job_city,job_industry,job_type,job_fed_contractor,job_equal_opp_employer,job_ownership,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school,received_callback,firstname,race,gender,years_college,college_degree,honors,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_holes,has_email_address,resume_quality,fed_contractor_missing
384,Chicago,manufacturing,supervisor,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Allison,white,f,4,1,0,0,6,1,0,0,0,1,0,low,1
384,Chicago,manufacturing,supervisor,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Kristen,white,f,3,0,0,1,6,1,0,1,1,0,1,high,1
384,Chicago,manufacturing,supervisor,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Lakisha,black,f,4,1,0,1,6,1,0,0,0,0,0,low,1
384,Chicago,manufacturing,supervisor,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Latonya,black,f,3,0,0,0,6,1,1,1,0,1,1,high,1
385,Chicago,other_service,secretary,0.0,1,nonprofit,1,0,0,0,1,1,none_listed,0,Carrie,white,f,3,0,0,1,22,1,0,0,0,0,1,high,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,private,0,0,0,0,0,0,none_listed,0,Jay,white,m,4,1,1,0,6,0,1,0,0,0,0,low,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,private,0,0,0,0,0,0,none_listed,0,Jill,white,f,4,1,0,1,5,1,1,1,0,0,1,high,0
385,Chicago,other_service,secretary,0.0,1,nonprofit,1,0,0,0,1,1,none_listed,0,Kenya,black,f,3,0,0,0,21,1,1,1,0,1,1,high,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,private,0,0,0,0,0,0,none_listed,0,Latonya,black,f,4,1,0,0,3,1,1,0,0,0,0,low,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,private,0,0,0,0,0,0,none_listed,0,Tyrone,black,m,4,1,0,1,6,0,1,1,0,0,1,high,0
387,Chicago,other_service,secretary,0.0,1,nonprofit,1,0,0,0,1,0,none_listed,0,Aisha,black,f,4,1,0,0,8,1,1,1,0,1,1,high,0
387,Chicago,other_service,secretary,0.0,1,nonprofit,1,0,0,0,1,0,none_listed,0,Allison,white,f,4,1,0,1,8,1,0,0,0,0,1,high,0
388,Chicago,business_and_personal_service,secretary,0.0,1,private,1,1,0,0,1,1,none_listed,0,Aisha,black,f,4,1,0,0,4,1,1,0,0,1,0,low,0
388,Chicago,business_and_personal_service,secretary,0.0,1,private,1,1,0,0,1,1,none_listed,0,Carrie,white,f,4,1,0,1,4,1,0,0,0,0,0,low,0
389,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Aisha,black,f,4,1,0,0,5,0,1,1,0,0,1,high,1
389,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Geoffrey,white,m,1,0,0,0,4,1,1,0,0,0,0,low,1
389,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Matthew,white,m,4,1,0,1,5,0,0,1,0,0,1,high,1
389,Chicago,wholesale_and_retail_trade,sales_rep,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Tamika,black,f,4,1,0,0,6,0,1,0,0,0,0,low,1
390,Chicago,wholesale_and_retail_trade,retail_sales,0.0,0,private,0,0,0,0,0,0,none_listed,0,Jill,white,f,4,1,1,1,6,0,1,1,0,0,1,high,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0.0,0,private,0,0,0,0,0,0,none_listed,0,Latonya,black,f,2,0,0,0,8,0,0,0,0,1,0,low,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0.0,0,private,0,0,0,0,0,0,none_listed,0,Leroy,black,m,4,1,0,1,4,1,1,1,0,0,1,high,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0.0,0,private,0,0,0,0,0,0,none_listed,0,Todd,white,m,4,1,0,0,3,1,1,0,0,0,0,low,0
392,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,1,1,0,0,some_college,0,Allison,white,f,2,0,0,0,2,0,0,0,0,0,0,low,0
391,Chicago,other_service,secretary,1.0,0,nonprofit,1,0,1,1,1,0,college,0,Carrie,white,f,4,1,0,0,7,1,0,0,0,1,0,low,0
392,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,1,1,0,0,some_college,0,Greg,white,m,4,1,0,0,3,1,1,1,0,0,1,high,0
391,Chicago,other_service,secretary,1.0,0,nonprofit,1,0,1,1,1,0,college,0,Keisha,black,f,4,1,0,1,6,1,0,0,0,1,0,low,0
392,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,1,1,0,0,some_college,0,Keisha,black,f,1,0,0,0,4,1,1,1,0,0,1,high,0
391,Chicago,other_service,secretary,1.0,0,nonprofit,1,0,1,1,1,0,college,0,Kristen,white,f,3,0,0,0,6,1,1,1,0,1,1,high,0
391,Chicago,other_service,secretary,1.0,0,nonprofit,1,0,1,1,1,0,college,0,Lakisha,black,f,3,0,0,1,7,1,0,0,0,0,1,high,0
392,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,1,1,0,0,some_college,0,Tamika,black,f,4,1,0,0,2,1,1,0,0,0,0,low,0
393,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Allison,white,f,2,0,0,0,6,1,0,0,0,0,0,low,1
393,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Keisha,black,f,3,0,0,1,6,1,0,0,0,0,0,low,1
393,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Kristen,white,f,3,0,0,0,9,1,0,1,0,1,1,high,1
393,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Latonya,black,f,4,1,1,1,6,1,0,0,0,1,1,high,1
395,Chicago,manufacturing,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Brad,white,m,2,0,0,0,4,0,0,0,0,0,0,low,1
394,Chicago,business_and_personal_service,clerical,0.0,1,private,1,1,0,0,1,0,none_listed,0,Jill,white,f,3,0,0,1,5,1,0,1,0,0,1,high,0
